,Sender.Location,Sender.LatLong.String,Receiver.Location,Receiver.LatLong.String,Date,Category
213,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1874-12-26,G
214,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1875-02-21,G
215,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1876-05-25,G
216,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1876-11-26,G
217,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1877-04-02,G
218,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1878-08-11,G
219,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1884-03-28,G
224,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1859-01-10,G
225,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1859-09-25,G
226,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1860-04-17,G
227,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1862-03-30,G
228,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1862-12-26,G
229,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1864-09-16,G
230,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1865-03-12,G
231,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1866-09-19,G
232,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1867-04-18,G
233,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1868-02-02,G
234,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1870-01-14,G
235,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1870-05-15,E
238,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1852-10-20,E
246,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1854-01-22,E
247,"USA, Detroit (MI)",42.331427 -83.045754,"DEU, Grí_fenroda",50.747635 10.810775,1860-03-22,E
250,"USA, Monroe (MI)",41.916434 -83.39771,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1885-05-11,E
251,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1883-04-10,E
252,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1888-01-19,E
253,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1892-01-24,E
254,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1899-07-06,E
259,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1883-04-10,E
260,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1899-07-06,E
271,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1892-09-03,E
272,"USA, Tonawanda (NY)",43.020335 -78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424 11.953062,1894-04-13,E
274,"USA, St. Louis (MO)",38.627003 -90.199404,"DEU, Heilbronn",49.142693 9.210879,1847-03-06,E
275,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Heilbronn",49.142693 9.210879,1836-12-03,E
276,"USA, Warschau (IN)",41.2381 -85.853047,"DEU, Stuttgart",48.775846 9.182932,1838-06-12,E
286,"USA, Oak Grove (WI)",43.386106 -88.74566,"DEU, Neubrunn (TH)",50.49939 10.468045,1854-07-16,E
